Accession,ProteinName,GeneName,,
P10361,Cellular tumor antigen p53 (Tumor suppressor p53),Tp53,,
P50393,Cytosolic phospholipase A2 (cPLA2) (Phospholipase A2 group IVA) [Includes: Phospholipase A2 (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase); Lysophospholipase (EC 3.1.1.5)],Pla2g4a,,
P39878,Group IIC secretory phospholipase A2 (GIIC sPLA2) (sPLA2-IIC) (EC 3.1.1.4) (14 kDa phospholipase A2) (PLA2-8) (Phosphatidylcholine 2-acylhydrolase 2C),Pla2g2c,,
P22057,Prostaglandin-H2 D-isomerase (EC 5.3.99.2) (Glutathione-independent PGD synthase) (Lipocalin-type prostaglandin-D synthase) (Prostaglandin-D2 synthase) (PGD2 synthase) (PGDS) (PGDS2),Ptgds,,
Q62969,Prostacyclin synthase (EC 5.3.99.4) (Prostaglandin I2 synthase),Ptgis,,
P25961,Parathyroid hormone/parathyroid hormone-related peptide receptor (PTH/PTHrP type I receptor) (PTH/PTHr receptor) (Parathyroid hormone 1 receptor) (PTH1 receptor),Pth1r,,
P04089,Parathyroid hormone (PTH) (Parathyrin),Pth,,
P37199,Nuclear pore complex protein Nup155 (155 kDa nucleoporin) (Nucleoporin Nup155) (P140),Nup155,,
O88628,Olfactory receptor 51E2 (G-protein coupled receptor RA1c) (Olfactory receptor 59),Or51e2,,
P02782,Prostatic steroid-binding protein C1 (Prostatein peptide C1),Psbpc1,,
Q6AXR8,Protein orai-3 (Transmembrane protein 142C),Orai3,,
O55232,Orexin (Hypocretin) (Hcrt) [Cleaved into: Orexin-A (Hypocretin-1) (Hcrt1); Orexin-B (Hypocretin-2) (Hcrt2)],Hcrt,,
Q8K560,Otospiralin,Otos,,
Q9ERC5,Otoferlin (Fer-1-like protein 2),Otof,,
Q5XIL2,Phosphatidylinositol 4-kinase type 2-beta (EC 2.7.1.67) (Phosphatidylinositol 4-kinase type II-beta),Pi4k2b,,
B3DMA0,Tumor protein p53-inducible protein 11 (p53-induced gene 11 protein),Tp53i11,,
P51433,Calcium-dependent phospholipase A2 (EC 3.1.1.4) (Group V phospholipase A2) (PLA2-10) (Phosphatidylcholine 2-acylhydrolase 5),Pla2g5,,
P13589,Pituitary adenylate cyclase-activating polypeptide (PACAP) [Cleaved into: PACAP-related peptide (PRP-48); Pituitary adenylate cyclase-activating polypeptide 27 (PACAP-27) (PACAP27); Pituitary adenylate cyclase-activating polypeptide 38 (PACAP-38) (PACAP38)],Adcyap1,,
Q9Z0W5,"Protein kinase C and casein kinase substrate in neurons protein 1 (Dynamin proline-rich domain-interacting protein) (Dynamin PRD-interacting protein) (Synaptic, dynamin-associated protein I) (Syndapin-1) (Syndapin-I) (SdpI)",Pacsin1,,
Q9QY17,Protein kinase C and casein kinase substrate in neurons 2 protein (Synaptic dynamin-associated protein II) (Syndapin-2) (Syndapin-II) (SdpII),Pacsin2,,
O88588,Phosphofurin acidic cluster sorting protein 1 (PACS-1),Pacs1,,
O88806,Protein-arginine deiminase type-1 (EC 3.5.3.15) (PAD-R11) (Peptidylarginine deiminase I) (Protein-arginine deiminase type I),Padi1,,
Q4V886,RNA polymerase II-associated factor 1 homolog,Paf1,,
P70708,Protein-arginine deiminase type-3 (EC 3.5.3.15) (Peptidylarginine deiminase III) (Protein-arginine deiminase type III),Padi3,,
Q675A5,Group XV phospholipase A2 (EC 2.3.1.-) (1-O-acylceramide synthase) (ACS) (LCAT-like lysophospholipase) (LLPL) (Lysophospholipase 3) (Lysosomal phospholipase A2) (LPLA2),Pla2g15,,
P57093,"Phytanoyl-CoA dioxygenase, peroxisomal (EC 1.14.11.18) (Phytanic acid oxidase) (Phytanoyl-CoA alpha-hydroxylase) (PhyH)",Phyh,,
P06303,Pancreatic prohormone (Pancreatic polypeptide) (PP) [Cleaved into: Pancreatic hormone (PH); C-terminal peptide],Ppy,,
Q6AXZ0,Polyadenylate-binding protein-interacting protein 2 (PABP-interacting protein 2) (PAIP-2) (Poly(A)-binding protein-interacting protein 2),Paip2,,
Q64303,Serine/threonine-protein kinase PAK 2 (EC 2.7.11.1) (Gamma-PAK) (p21-activated kinase 2) (PAK-2) [Cleaved into: PAK-2p27; PAK-2p34],Pak2,,
Q66H20,Polypyrimidine tract-binding protein 2 (Neural polypyrimidine tract-binding protein) (PTB-like protein),Ptbp2,,
Q9Z118,Polypyrimidine tract-binding protein 3 (Regulator of differentiation 1) (Rod1),Ptbp3,,
A2VD13,"Pentatricopeptide repeat-containing protein 1, mitochondrial",Ptcd1,,
P0C6B3,Pre T-cell antigen receptor alpha (pT-alpha) (pTa) (pT-alpha-TCR),Ptcra,,
P05508,NADH-ubiquinone oxidoreductase chain 4 (EC 7.1.1.2) (NADH dehydrogenase subunit 4),Mtnd4,,
Q6AYL9,Kinetochore protein Nuf2 (Cell division cycle-associated protein 1),Nuf2,,
Q68FY1,Nucleoporin NUP35 (35 kDa nucleoporin) (Nuclear pore complex protein Nup53) (Nucleoporin NUP53),Nup35,,
Q5MYU0,2'-5'-oligoadenylate synthase 2 ((2-5')oligo(A) synthase 2) (2-5A synthase 2) (EC 2.7.7.84),Oas2,,
D3ZGS3,Inositol polyphosphate 5-phosphatase OCRL-1 (EC 3.1.3.36),Ocrl,,
Q5XIG4,OCIA domain-containing protein 1,Ociad1,,
Q3HS83,Odontogenic ameloblast-associated protein (Apin),Odam,,
P56558,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit (EC 2.4.1.255) (O-GlcNAc transferase subunit p110) (O-linked N-acetylglucosamine transferase 110 kDa subunit) (OGT),Ogt,,
Q75PQ8,Origin recognition complex subunit 2,Orc2,,
Q2YDU3,OTU domain-containing protein 5 (EC 3.4.19.12) (Deubiquitinating enzyme A) (DUBA),Otud5,,
Q3B7D8,Inactive ubiquitin thioesterase OTULINL,Otulinl,,
B2RYG6,Ubiquitin thioesterase OTUB1 (EC 3.4.19.12) (Deubiquitinating enzyme OTUB1) (OTU domain-containing ubiquitin aldehyde-binding protein 1) (Otubain-1) (Ubiquitin-specific-processing protease OTUB1),Otub1,,
Q6Y1R5,2-oxoglutarate receptor 1 (Alpha-ketoglutarate receptor 1) (G-protein coupled receptor 80) (P2Y purinoceptor 15) (P2Y15),Oxgr1,,
Q6AXZ3,Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma,Ppp2r3c,,
P51577,P2X purinoceptor 4 (P2X4) (ATP receptor) (Purinergic receptor),P2rx4,,
Q9R1J8,Prolyl 3-hydroxylase 1 (EC 1.14.11.7) (Leucine- and proline-enriched proteoglycan 1) (Leprecan-1),P3h1,,
Q99M64,Phosphatidylinositol 4-kinase type 2-alpha (EC 2.7.1.67) (55 kDa type II phosphatidylinositol 4-kinase) (Phosphatidylinositol 4-kinase type II-alpha),Pi4k2a,,
B0BN44,Tumor protein p53-inducible protein 13,Tp53i13,,
G3V9D0,Protein O-glucosyltransferase 1 (EC 2.4.1.-) (O-glucosyltransferase Rumi homolog) (Protein O-xylosyltransferase) (EC 2.4.2.26),Poglut1,,
O88370,Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma (EC 2.7.1.149) (Phosphatidylinositol 5-phosphate 4-kinase type II gamma) (PI(5)P 4-kinase type II gamma) (PIP4KII-gamma),Pip4k2c,,
Q5KR61,GPI mannosyltransferase 2 (EC 2.4.1.-) (GPI mannosyltransferase II) (GPI-MT-II) (Phosphatidylinositol-glycan biosynthesis class V protein) (PIG-V),Pigv,,
Q5I6B8,Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma (PIP5K1-gamma) (PtdIns(4)P-5-kinase 1 gamma) (EC 2.7.1.68) (Phosphatidylinositol 4-phosphate 5-kinase type I gamma) (PIP5KIgamma),Pip5k1c,,
Q5M827,"Pirin (EC 1.13.11.24) (Probable quercetin 2,3-dioxygenase PIR) (Probable quercetinase)",Pir,,
P97535,Phospholipase A1 member A (EC 3.1.1.-) (Phosphatidylserine-specific phospholipase A1) (PS-PLA1),Pla1a,,
O08874,Serine/threonine-protein kinase N2 (EC 2.7.11.13) (Cardiolipin-activated protein kinase Pak2) (PKN gamma) (Protease-activated kinase 2) (PAK-2) (Protein kinase C-like 2) (Protein-kinase C-related kinase 2) (p140 kinase),Pkn2,,
B2GUY1,Serine/threonine-protein kinase PLK4 (EC 2.7.11.21) (Polo-like kinase 4) (PLK-4) (Serine/threonine-protein kinase Sak),Plk4,,
P97570,85/88 kDa calcium-independent phospholipase A2 (CaI-PLA2) (EC 3.1.1.4) (Group VI phospholipase A2) (GVI PLA2) (Intracellular membrane-associated calcium-independent phospholipase A2 beta) (iPLA2-beta) (Patatin-like phospholipase domain-containing protein 9) (PNPLA9),Pla2g6,,
Q5FX52,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase zeta-1 (EC 3.1.4.11) (Phosphoinositide phospholipase C-zeta-1) (Phospholipase C-zeta-1) (PLC-zeta-1)",Plcz1,,
P97544,Phospholipid phosphatase 3 (EC 3.1.3.4) (Differentially expressed in rat intestine 42) (Dri42) (Lipid phosphate phosphohydrolase 3) (PAP2-beta) (Phosphatidate phosphohydrolase type 2b) (Phosphatidic acid phosphatase 2b) (PAP-2b) (PAP2b),Plpp3,,
Q498C8,Protein RER1,Rer1,,
P47940,Regulated endocrine-specific protein 18,Resp18,,
Q9JIS1,Regulating synaptic membrane exocytosis protein 2 (Rab-3-interacting molecule 2) (RIM 2),Rims2,,
Q9JIR3,Regulating synaptic membrane exocytosis protein 3 (Nim3) (RIM3 gamma) (Rab-3-interacting molecule 3) (RIM 3),Rims3,,
P97680,Ras and Rab interactor 1 (Ras interaction/interference protein 1),Rin1,,
P34207,Prolactin-3D4 (Chorionic somatomammotropin hormone 1 variant) (Placental lactogen I variant) (PL-IV),Prl3d4,,
P62914,60S ribosomal protein L11,Rpl11,,
P60892,Ribose-phosphate pyrophosphokinase 1 (EC 2.7.6.1) (Phosphoribosyl pyrophosphate synthase I) (PRS-I),Prps1,,
P09330,Ribose-phosphate pyrophosphokinase 2 (EC 2.7.6.1) (Phosphoribosyl pyrophosphate synthase II) (PRS-II),Prps2,,
Q5U1W2,Proline-rich protein 13,Prr13,,
Q6AY28,Inactive serine protease 54 (Plasma kallikrein-like protein 4),Prss54,,
Q5R212,Inactive serine protease 35,Prss35,,
P62193,26S proteasome regulatory subunit 4 (P26s4) (26S proteasome AAA-ATPase subunit RPT2) (Proteasome 26S subunit ATPase 1),Psmc1,,
P02625,Parvalbumin alpha,Pvalb,,
P34064,Proteasome subunit alpha type-5 (EC 3.4.25.1) (Macropain zeta chain) (Multicatalytic endopeptidase complex zeta chain) (Proteasome zeta chain),Psma5,,
Q4KM35,Proteasome subunit beta type-10 (EC 3.4.25.1) (Low molecular mass protein 10) (Macropain subunit MECl-1) (Multicatalytic endopeptidase complex subunit MECl-1) (Proteasome MECl-1) (Proteasome subunit beta-2i),Psmb10,,
P28073,Proteasome subunit beta type-6 (EC 3.4.25.1) (Macropain delta chain) (Multicatalytic endopeptidase complex delta chain) (Proteasome chain 5) (Proteasome delta chain) (Proteasome subunit Y),Psmb6,,
O35567,Bifunctional purine biosynthesis protein PURH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)],Atic,,
P12749,60S ribosomal protein L26,Rpl26,,
P18445,60S ribosomal protein L27a,Rpl27a,,
Q68A21,Transcriptional activator protein Pur-beta (Purine-rich element-binding protein B),Purb,,
P09812,"Glycogen phosphorylase, muscle form (EC 2.4.1.1) (Myophosphorylase)",Pygm,,
P62902,60S ribosomal protein L31,Rpl31,,
P62912,60S ribosomal protein L32,Rpl32,,
P10631,Peptide YY (PYY) (Peptide tyrosine tyrosine) [Cleaved into: Peptide YY(3-36) (PYY-II)],Pyy,,
P68907,E3 ubiquitin-protein ligase PDZRN3 (EC 2.3.2.27) (PDZ domain-containing RING finger protein 3) (RING-type E3 ubiquitin transferase PDZRN3) (Semaphorin cytoplasmic domain-associated protein 3) (Protein SEMACAP3),Pdzrn3,,
Q68FY0,"Cytochrome b-c1 complex subunit 1, mitochondrial (Complex III subunit 1) (Core protein I) (Ubiquinol-cytochrome-c reductase complex core protein 1)",Uqcrc1,,
P32551,"Cytochrome b-c1 complex subunit 2, mitochondrial (Complex III subunit 2) (Core protein II) (Ubiquinol-cytochrome-c reductase complex core protein 2)",Uqcrc2,,
Q5M9I5,"Cytochrome b-c1 complex subunit 6, mitochondrial (Complex III subunit 6) (Complex III subunit VIII) (Cytochrome c1 non-heme 11 kDa protein) (Mitochondrial hinge protein) (Ubiquinol-cytochrome c reductase complex 11 kDa protein)",Uqcrh,,
Q7TQ16,Cytochrome b-c1 complex subunit 8 (Complex III subunit 8) (Complex III subunit VIII) (Low molecular mass ubiquinone-binding protein) (Ubiquinol-cytochrome c reductase complex 9.5 kDa protein) (Ubiquinol-cytochrome c reductase complex ubiquinone-binding protein QP-C),Uqcrq,,
B0BNC9,Quinone oxidoreductase-like protein 2 (EC 1.-.-.-),,,
Q6AYT0,Quinone oxidoreductase (EC 1.6.5.5) (NADPH:quinone reductase) (Zeta-crystallin),Cryz,,
P11250,60S ribosomal protein L34,Rpl34,,
P83858,Pyroglutamylated RF-amide peptide receptor (AQ27) (G-protein coupled receptor 103) (Orexigenic neuropeptide QRFP receptor) (SP9155),Qrfpr,,
Q6IUU3,Sulfhydryl oxidase 1 (rQSOX) (rSOx) (EC 1.8.3.2) (FAD-dependent sulfhydryl oxidase-2) (SOx-2) (Quiescin Q6),Qsox1,,
Q91XU1,Protein quaking (RqkI),Qki,,
P39032,60S ribosomal protein L36,Rpl36,,
P40112,Proteasome subunit beta type-3 (EC 3.4.25.1) (Proteasome chain 13) (Proteasome component C10-II) (Proteasome theta chain),Psmb3,,
P53534,"Glycogen phosphorylase, brain form (EC 2.4.1.1) (Fragment)",Pygb,,
P04646,60S ribosomal protein L35a,Rpl35a,,
P17078,60S ribosomal protein L35,Rpl35,,
Q9JJ74,Receptor activity-modifying protein 1,Ramp1,,
Q63495,Advanced glycosylation end product-specific receptor (Receptor for advanced glycosylation end products),Ager,,
P36860,Ras-related protein Ral-B,Ralb,,
Q566C5,Ras association domain-containing protein 4,Rassf4,,
P23640,Ras-related protein Rab-27A (Rab-27) (GTP-binding protein Ram) (Ram p25),Rab27a,,
P62494,Ras-related protein Rab-11A (Rab-11) (24KG),Rab11a,,
Q5U2N0,CTP synthase 2 (EC 6.3.4.2) (CTP synthetase 2) (UTP--ammonia ligase 2),Ctps2,,
P21531,60S ribosomal protein L3 (L4),Rpl3,,
B2GV47,RPA-related protein RADX,Radx,,
P62836,Ras-related protein Rap-1A (Ras-related protein Krev-1),Rap1a,,
Q62636,Ras-related protein Rap-1b (GTP-binding protein smg p21B),Rap1b,,
Q9JJ73,Receptor activity-modifying protein 3,Ramp3,,
P62828,GTP-binding nuclear protein Ran (GTPase Ran) (Ras-like protein TC4) (Ras-related nuclear protein),Ran,,
Q5XI28,Ribonucleoprotein PTB-binding 1 (Protein raver-1),Raver1,,
P09811,"Glycogen phosphorylase, liver form (EC 2.4.1.1)",Pygl,,
P52873,"Pyruvate carboxylase, mitochondrial (EC 6.4.1.1) (Pyruvic carboxylase) (PCB)",Pc,,
P83883,60S ribosomal protein L36a (60S ribosomal protein L44),Rpl36a,,
Q80WD0,Reticulon-4 receptor-like 1 (Nogo receptor-like 2) (Nogo-66 receptor homolog 2) (Nogo-66 receptor-related protein 3) (NgR3),Rtn4rl1,,
Q80WD1,Reticulon-4 receptor-like 2 (Nogo receptor-like 3) (Nogo-66 receptor homolog 1) (Nogo-66 receptor-related protein 2) (NgR2),Rtn4rl2,,
P63174,60S ribosomal protein L38,Rpl38,,
P62893,60S ribosomal protein L39,Rpl39,,
P35284,Ras-related protein Rab-12,Rab12,,
P35286,Ras-related protein Rab-13,Rab13,,
P61107,Ras-related protein Rab-14,Rab14,,
P35289,Ras-related protein Rab-15,Rab15,,
Q5EB77,Ras-related protein Rab-18,Rab18,,
Q5M7U5,Ras-related protein Rab-19,Rab19,,
Q6NYB7,Ras-related protein Rab-1A,Rab1A,,
P10536,Ras-related protein Rab-1B,Rab1b,,
Q6AXT5,Ras-related protein Rab-21,Rab21,,
P51156,Ras-related protein Rab-26,Rab26,,
Q6GQP4,Ras-related protein Rab-31 (GTP-binding protein Rab0),Rab31,,
Q63481,Ras-related protein Rab-7L1 (Rab-7-like protein 1) (Ras-related protein Rab-29),Rab29,,
P35280,Ras-related protein Rab-8A,Rab8a,,
P62966,Cellular retinoic acid-binding protein 1 (Cellular retinoic acid-binding protein I) (CRABP-I),Crabp1,,
P51673,Cellular retinoic acid-binding protein 2 (Cellular retinoic acid-binding protein II) (CRABP-II),Crabp2,,
Q4V8F4,Rab9 effector protein with kelch motifs,Rabepk,,
P55043,GTP-binding protein RAD (RAD1) (Ras associated with diabetes),Rrad,,
Q9JIL8,DNA repair protein RAD50 (EC 3.6.-.-),Rad50,,
Q5U312,Ankycorbin (Ankyrin repeat and coiled-coil structure-containing protein) (Retinoic acid-induced protein 14),Rai14,,
P61227,Ras-related protein Rap-2b,Rap2b,,
Q68FT3,Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 2 (EC 1.-.-.-),Pyroxd2,,
Q63707,"Dihydroorotate dehydrogenase (quinone), mitochondrial (DHOdehase) (EC 1.3.5.2) (Dihydroorotate oxidase)",Dhodh,,
D4AAZ6,60S ribosomal protein L37a,Rpl37a,,
P61515,Putative 60S ribosomal protein L37a (60S ribosomal protein L37a pseudogene 1),Rpl37a-ps1,,
Q99NH3,Guanine nucleotide exchange factor for Rab-3A (Rab-3A-interacting-like protein 1) (Rab3A-interacting-like protein 1) (Rabin3-like 1),Rab3il1,,
P61928,60S ribosomal protein L37,Rpl37,,
Q5FVH8,Regulator of G-protein signaling 7-binding protein (R7 family-binding protein),Rgs7bp,,
P35281,Ras-related protein Rab-10,Rab10,,
P51158,Ras-related protein Rab-28,Rab28,,
P05712,Ras-related protein Rab-2A,Rab2a,,
Q5U1Y1,Ras-related protein Rab-34,Rab34,,
Q5U316,Ras-related protein Rab-35,Rab35,,
P63012,Ras-related protein Rab-3A,Rab3a,,
Q63941,Ras-related protein Rab-3B,Rab3b,,
P62824,Ras-related protein Rab-3C,Rab3c,,
Q63942,GTP-binding protein Rab-3D,Rab3d,,
Q62739,Rab-3A-interacting protein (Rab3A-interacting protein) (Rabin-3) (SSX2-interacting protein),Rab3ip,,
Q53B90,Ras-related protein Rab-43,Rab43,,
P05714,Ras-related protein Rab-4A,Rab4a,,
P51146,Ras-related protein Rab-4B,Rab4b,,
M0RC99,Ras-related protein Rab-5A (Small GTP-binding protein rab5),Rab5a,,
Q9WVB1,Ras-related protein Rab-6A (Rab-6),Rab6a,,
P09527,Ras-related protein Rab-7a (Ras-related protein BRL-RAS) (Ras-related protein p23),Rab7a,,
P70550,Ras-related protein Rab-8B,Rab8b,,
Q99P75,Ras-related protein Rab-9A,Rab9a,,
O35550,Rab GTPase-binding effector protein 1 (Rabaptin-5) (Rabaptin-5alpha),Rabep1,,
Q62835,Rab GTPase-binding effector protein 2 (MP13 protein) (Rabaptin-5beta),Rabep2,,
Q6RUV5,Ras-related C3 botulinum toxin substrate 1 (p21-Rac1),Rac1,,
P63245,"Receptor of activated protein C kinase 1 (Guanine nucleotide-binding protein subunit beta-2-like 1) (Receptor for activated C kinase) (Receptor of activated protein kinase C 1) [Cleaved into: Receptor of activated protein C kinase 1, N-terminally processed]",Rack1,,
Q499V3,Cell cycle checkpoint control protein RAD9B (DNA repair exonuclease rad9 homolog B),Rad9b,,
P62986,Ubiquitin-60S ribosomal protein L40 (Ubiquitin A-52 residue ribosomal protein fusion product 1) [Cleaved into: Ubiquitin; 60S ribosomal protein L40 (CEP52)],Uba52,,
P62948,60S ribosomal protein L41,Rpl41,,
Q9JKF8,Dexamethasone-induced Ras-related protein 1,Rasd1,,
Q4QR82,Ras association domain-containing protein 6,Rassf6,,
P50904,Ras GTPase-activating protein 1 (GAP) (GTPase-activating protein) (RasGAP) (Ras p21 protein activator) (p120GAP),Rasa1,,
Q63713,Ras GTPase-activating protein 2 (GAP1m),Rasa2,,
P20171,"GTPase HRas (H-Ras-1) (Transforming protein p21) (c-H-ras) (p21ras) [Cleaved into: GTPase HRas, N-terminally processed]",Hras,,
Q04970,GTPase NRas (Transforming protein N-Ras),Nras,,
Q71UF4,Histone-binding protein RBBP7 (Nucleosome-remodeling factor subunit RBAP46) (Retinoblastoma-binding protein 7) (RBBP-7),Rbbp7,,
O88350,Putative hydrolase RBBP9 (EC 3.-.-.-) (B5T-overexpressed gene protein) (Protein BOG) (Retinoblastoma-binding protein 9) (RBBP-9),Rbbp9,,
P69735,Rab3 GTPase-activating protein catalytic subunit (RAB3 GTPase-activating protein 130 kDa subunit) (Rab3-GAP p130) (Rab3-GAP) (Fragments),Rab3gap1,,
O35509,Ras-related protein Rab-11B,Rab11b,,
O55081,Retinoblastoma-like protein 2 (130 kDa retinoblastoma-associated protein) (p130) (PPAR-alpha-interacting complex protein 128) (PRIC128) (Retinoblastoma-related protein 2) (RBR-2) (pRb2),Rbl2,,
Q64LC9,RNA-binding protein 4B (RNA-binding motif protein 30) (RNA-binding motif protein 4B) (RNA-binding protein 30) (Zinc-responsive protein ZD7),Rbm4b,,
Q5M9F1,RNA-binding protein 34 (RNA-binding motif protein 34),Rbm34,,
P40307,Proteasome subunit beta type-2 (EC 3.4.25.1) (Macropain subunit C7-I) (Multicatalytic endopeptidase complex subunit C7-I) (Proteasome component C7-I),Psmb2,,
P20280,60S ribosomal protein L21,Rpl21,,
P04157,Receptor-type tyrosine-protein phosphatase C (EC 3.1.3.48) (Leukocyte common antigen) (L-CA) (T200) (CD antigen CD45),Ptprc,,
B2GV87,Receptor-type tyrosine-protein phosphatase epsilon (Protein-tyrosine phosphatase epsilon) (R-PTP-epsilon) (EC 3.1.3.48),Ptpre,,
Q64604,Receptor-type tyrosine-protein phosphatase F (EC 3.1.3.48) (Leukocyte common antigen related) (LAR),Ptprf,,
Q66H78,2-phosphoxylose phosphatase 1 (EC 3.1.3.-) (Acid phosphatase-like protein 2),Pxylp1,,
P28064,Proteasome subunit beta type-8 (EC 3.4.25.1) (Macropain subunit C13) (Multicatalytic endopeptidase complex subunit C13) (Proteasome component C13) (Proteasome subunit beta-5i),Psmb8,,
Q68FS6,Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1 (EC 1.8.1.-),Pyroxd1,,
P62890,60S ribosomal protein L30,Rpl30,,
P83953,Importin subunit alpha-5 (Importin alpha-5) (Karyopherin subunit alpha-1),Kpna1,,
Q56R16,Importin subunit alpha-6 (Karyopherin subunit alpha-5),Kpna5,,
P52296,Importin subunit beta-1 (Karyopherin subunit beta-1) (Nuclear factor p97) (Pore targeting complex 97 kDa subunit) (PTAC97),Kpnb1,,
Q5PQR5,U3 small nucleolar ribonucleoprotein protein IMP4 (U3 snoRNP protein IMP4),Imp4,,
Q8CIN7,Inositol monophosphatase 2 (IMP 2) (IMPase 2) (EC 3.1.3.25) (Inositol-1(or 4)-monophosphatase 2) (Myo-inositol monophosphatase A2),Impa2,,
D4AD37,Inositol monophosphatase 3 (IMP 3) (IMPase 3) (EC 3.1.3.25) (EC 3.1.3.7) (Golgi 3-prime phosphoadenosine 5-prime phosphate 3-prime phosphatase) (Golgi-resident PAP phosphatase) (gPAPP) (Inositol monophosphatase domain-containing protein 1) (Inositol-1(or 4)-monophosphatase 3) (Myo-inositol monophosphatase A3),Impad1,,
Q5GFD9,Protein IMPACT (Imprinted and ancient gene protein homolog),Impact,,
P70628,Interphotoreceptor matrix proteoglycan 2 (PG10.2) (Sialoprotein associated with cones and rods proteoglycan) (Spacrcan),Impg2,,
Q6AYH2,INO80 complex subunit E (Coiled-coil domain-containing protein 95),Ino80e,,
Q498T3,Inhibitor of growth protein 3,Ing3,,
P17490,Inhibin alpha chain,Inha,,
P18331,Inhibin beta A chain (Activin beta-A chain),Inhba,,
P17491,Inhibin beta B chain (Activin beta-B chain),Inhbb,,
Q9WUK5,Inhibin beta C chain (Activin beta-C chain),Inhbc,,
O88959,Inhibin beta E chain (Activin beta-E chain),Inhbe,,
Q6AYK3,Inositol-3-phosphate synthase 1 (IPS 1) (EC 5.5.1.4) (Myo-inositol 1-phosphate synthase) (MI-1-P synthase) (MIP synthase),Isyna1,,
Q62784,"Type I inositol 3,4-bisphosphate 4-phosphatase (EC 3.1.3.66) (Inositol polyphosphate 4-phosphatase type I)",Inpp4a,,
Q9QWG5,"Type II inositol 3,4-bisphosphate 4-phosphatase (EC 3.1.3.66) (Inositol polyphosphate 4-phosphatase type II)",Inpp4b,,
Q9WVR1,"72 kDa inositol polyphosphate 5-phosphatase (EC 3.1.3.36) (5-phosphatase that induces arborization) (Pharbin) (Phosphatidylinositol 4,5-bisphosphate 5-phosphatase) (Phosphatidylinositol polyphosphate 5-phosphatase type IV)",Inpp5e,,
P01322,Insulin-1 [Cleaved into: Insulin-1 B chain; Insulin-1 A chain],Ins1,,
P01323,Insulin-2 [Cleaved into: Insulin-2 B chain; Insulin-2 A chain],Ins2,,
Q08755,Insulin-induced gene 1 protein (INSIG-1) (Immediate-early protein CL-6) (Insulin-induced growth response protein CL-6),Insig1,,
Q80UA9,Insulin-induced gene 2 protein (INSIG-2),Insig2,,
Q9WUK0,Insulin-like 3 (Leydig insulin-like peptide) (Ley-I-L) (Relaxin-like factor) [Cleaved into: Insulin-like 3 B chain; Insulin-like 3 A chain],Insl3,,
Q9WV41,Insulin-like peptide INSL6 (Insulin-like peptide 6) [Cleaved into: Insulin-like peptide INSL6 B chain; Insulin-like peptide INSL6 A chain],Insl6,,
Q64716,Insulin receptor-related protein (IRR) (EC 2.7.10.1) (IR-related receptor),Insrr,,
P15127,Insulin receptor (IR) (EC 2.7.10.1) (CD antigen CD220) [Cleaved into: Insulin receptor subunit alpha; Insulin receptor subunit beta],Insr,,
B0BN13,Inhibitory synaptic factor 1 (InSyn1),Insyn1,,
Q3MHC2,Integrator complex subunit 11 (Int11) (EC 3.1.27.-) (Cleavage and polyadenylation-specific factor 3-like protein) (CPSF3-like protein),Ints11,,
Q68FR3,Integrator complex subunit 12 (Int12) (PHD finger protein 22),Ints12,,
Q66H58,Integrator complex subunit 14 (von Willebrand factor A domain-containing protein 9),Ints14,,
D4ACE5,Protein inturned (Inturned planar cell polarity effector homolog) (PDZ domain-containing protein 6),Intu,,
P48998,Involucrin,Ivl,,
P24389,Type I iodothyronine deiodinase (EC 1.21.99.4) (5DI) (DIOI) (Type 1 DI) (Type-I 5'-deiodinase),Dio1,,
P70551,Type II iodothyronine deiodinase (EC 1.21.99.4) (5DII) (DIOII) (Type 2 DI) (Type-II 5'-deiodinase),Dio2,,
P49897,Thyroxine 5-deiodinase (EC 1.21.99.3) (5DIII) (DIOIII) (Type 3 DI) (Type III iodothyronine deiodinase),Dio3,,
P30191,Gamma-aminobutyric acid receptor subunit alpha-6 (GABA(A) receptor subunit alpha-6),Gabra6,,
P15431,Gamma-aminobutyric acid receptor subunit beta-1 (GABA(A) receptor subunit beta-1),Gabrb1,,
P63079,Gamma-aminobutyric acid receptor subunit beta-3 (GABA(A) receptor subunit beta-3),Gabrb3,,
Q5XIL5,Beta-galactosidase-1-like protein 3 (EC 3.2.1.-),Glb1l3,,
Q0VGK3,Glycerate kinase (EC 2.7.1.31),Glyctk,,
Q4KLN4,Nucleoporin GLE1 (GLE1-like protein),Gle1,,
