"noiso"	"SPC"	"geneName"	"Transmembrane"	"CC"	"CD"	"CSPA..e"	"HLA"
"P49218"	2	"Mtnr1a"	"TRANSMEM 19 39 Helical; Name=1. {ECO:0000255}.; TRANSMEM 62 82 Helical; Name=2. {ECO:0000255}.; TRANSMEM 115 135 Helical; Name=3. {ECO:0000255}."	"SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein."	NA	NA	NA
"P41413"	2	"Pcsk5"	"TRANSMEM 1701 1721 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Isoform PC5A: Secreted {ECO:0000250}. Note=Secreted through the regulated secretory pathway. {ECO:0000250}.; SUBCELLULAR LOCATION: Isoform PC5B: Endomembrane system {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}. Note=Type I membrane protein localized to a paranuclear post-Golgi network compartment in communication with early endosomes. {ECO:0000250}."	NA	NA	NA
"Q4FZT2"	0	"Ppme1 Pme1"	""	""	NA	NA	NA
"Q5M820"	0	"Mrfap1 Pgr1"	""	"SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9Y605}. Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:Q9Y605}. Note=Colocalizes with MORF4L1 to cell nuclei. {ECO:0000250|UniProtKB:Q9Y605}."	NA	NA	NA
"Q9WTR8"	0	"Phlpp1 Phlpp Plekhe1 Scop"	""	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12594205}. Membrane {ECO:0000269|PubMed:12594205}; Peripheral membrane protein {ECO:0000269|PubMed:12594205}.; SUBCELLULAR LOCATION: Isoform 1: Cytoplasm {ECO:0000269|PubMed:20819118}. Cell membrane {ECO:0000269|PubMed:20819118}.; SUBCELLULAR LOCATION: Isoform 2: Nucleus, nucleoplasm {ECO:0000269|PubMed:20819118}. Nucleus membrane {ECO:0000269|PubMed:20819118}. Cytoplasm {ECO:0000269|PubMed:20819118}. Cell membrane {ECO:0000269|PubMed:20819118}."	NA	NA	NA
"O88806"	0	"Padi1 Pad1 Pdi1"	""	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q9ULC6}."	NA	NA	NA
"Q8CG09"	4	"Abcc1 Mrp1"	"TRANSMEM 34 54 Helical; Name=1. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 75 95 Helical; Name=2. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 101 121 Helical; Name=3. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 134 154 Helical; Name=4. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 173 193 Helical; Name=5. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 318 338 Helical; Name=6. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 365 385 Helical; Name=7. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 442 462 Helical; Name=8. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 466 486 Helical; Name=9. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 549 569 Helical; Name=10. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 592 612 Helical; Name=11. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 968 988 Helical; Name=12. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 1027 1047 Helical; Name=13. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 1091 1111 Helical; Name=14. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 1113 1133 Helical; Name=15. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 1205 1225 Helical; Name=16. {ECO:0000255|PROSITE-ProRule:PRU00441}.; TRANSMEM 1228 1248 Helical; Name=17. {ECO:0000255|PROSITE-ProRule:PRU00441}."	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15129170}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441, ECO:0000269|PubMed:15129170}."	NA	NA	NA
"Q9QZA2"	0	"Pdcd6ip Aip1"	""	"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:19343716}. Melanosome {ECO:0000250|UniProtKB:Q8WUM4}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q8WUM4}. Secreted, extracellular exosome {ECO:0000250|UniProtKB:Q8WUM4}. Cell junction, tight junction {ECO:0000250|UniProtKB:Q9WU78}. Midbody, Midbody ring {ECO:0000250|UniProtKB:Q8WUM4}. Note=Colocalized with CEP55 in the midbody during cytokinesis and at centrosomes in non-dividing cells (By similarity). Component of the actomyosin-tight junction complex (By similarity). {ECO:0000250|UniProtKB:Q8WUM4, ECO:0000250|UniProtKB:Q9WU78}."	NA	NA	NA
"Q4V886"	0	"Paf1"	""	"SUBCELLULAR LOCATION: Nucleus. Note=Punctuate distribution throughout the nucleus except in nucleoli and the perinuclear chromatin. {ECO:0000250}."	NA	NA	NA
"P14650"	3	"Tpo"	"TRANSMEM 835 859 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}."	NA	NA	NA
"P38659"	1	"Pdia4 Cabp2 Erp70"	""	"SUBCELLULAR LOCATION: Endoplasmic reticulum lumen {ECO:0000250|UniProtKB:P13667}. Melanosome {ECO:0000250|UniProtKB:P13667}."	NA	NA	NA
"Q6AYD9"	0	"Nudt19"	""	"SUBCELLULAR LOCATION: Peroxisome {ECO:0000250}."	NA	NA	NA
"P06907"	3	"Mpz P0"	"TRANSMEM 154 179 Helical."	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P25189}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:P25189}."	NA	NA	NA
"Q8VI02"	0	"Ppp4r1"	""	""	NA	NA	NA
"Q06518"	0	"Nos2"	""	"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:P35228}. Note=Localizes as discrete foci scattered throughout the cytosol and in the presence of SPSB1 and SPSB4, exhibits a more diffuse cytosolic localization. {ECO:0000250|UniProtKB:P35228}."	NA	NA	NA
"P83871"	0	"Phf5a Ini"	""	"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12810571}. Nucleus speckle {ECO:0000250|UniProtKB:P83870}."	NA	NA	NA
"Q5BJR4"	0	"Prune2 Bmcc1"	""	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}."	NA	NA	NA
"Q3T1J9"	0	"Mob1a Mobk1b Mobkl1b"	""	""	NA	NA	NA
"P62716"	0	"Ppp2cb"	""	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}. Chromosome, centromere {ECO:0000250}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000250}. Note=In prometaphase cells, but not in anaphase cells, localizes at centromeres. During mitosis, also found at spindle poles (By similarity). {ECO:0000250}."	NA	NA	NA
"Q62718"	2	"Ntm Hnt Nt"	""	"SUBCELLULAR LOCATION: Cell membrane; Lipid-anchor, GPI-anchor."	NA	NA	NA
"Q8K1M5"	0	"Npw Ppl8"	""	"SUBCELLULAR LOCATION: Secreted."	NA	NA	NA
"Q91ZN7"	0	"Chek1 Chk1"	""	"SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Cytoplasm {ECO:0000250}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250}. Note=Nuclear export is mediated at least in part by XPO1/CRM1. Also localizes to the centrosome specifically during interphase, where it may protect centrosomal CDC2 kinase from inappropriate activation by cytoplasmic CDC25B (By similarity). {ECO:0000250}."	NA	NA	NA
"Q32Q86"	0	"Cry1"	""	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P97784}. Nucleus {ECO:0000250|UniProtKB:P97784}. Note=Translocated to the nucleus through interaction with other clock proteins such as PER2 or ARNTL/BMAL1. {ECO:0000250|UniProtKB:P97784}."	NA	NA	NA
"P61250"	0	"Pde6h"	""	""	NA	NA	NA
"Q68FP9"	0	"Cog6"	""	"SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}."	NA	NA	NA
"Q6UPE0"	0	"Chdh"	""	"SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:12951056}."	NA	NA	NA
"O70454"	0	"Bud31 Edg2 G10"	""	"SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P41223}. Note=Detected in chromatin at the promoter of AR target genes. {ECO:0000250|UniProtKB:P41223}."	NA	NA	NA
"P98087"	0	"Cbln2"	""	"SUBCELLULAR LOCATION: Secreted {ECO:0000250}."	NA	NA	NA
"Q6AYJ5"	0	"Cluap1"	""	"SUBCELLULAR LOCATION: Cell projection, cilium {ECO:0000250|UniProtKB:Q96AJ1}. Nucleus {ECO:0000250|UniProtKB:Q96AJ1}."	NA	NA	NA
"Q02435"	0	"Bfsp1"	""	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q06002}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q06002}; Cytoplasmic side {ECO:0000250|UniProtKB:Q06002}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q06002}. Cytoplasm, cell cortex {ECO:0000250|UniProtKB:Q06002}. Note=Detected adjacent to the cell membrane. {ECO:0000250|UniProtKB:Q06002}."	NA	NA	NA
"Q3B8Q1"	0	"Ddx21 Ddx21a"	""	"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250|UniProtKB:Q9NR30}. Nucleus, nucleoplasm {ECO:0000250|UniProtKB:Q9NR30}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q9JIK5}. Mitochondrion {ECO:0000250|UniProtKB:Q9JIK5}. Note=Present both in nucleolus and nucleoplasm. Interaction with JUN promotes translocation from the nucleolus to the nucleoplasm. Interaction with WDR46 is required for localization to the nucleolus. Colocalizes in the cytosol with DDX1, DHX36 and TICAM1. The multi-helicase-TICAM1 complex may translocate to the mitochondria upon poly(I:C) RNA ligand stimulation (By similarity). {ECO:0000250|UniProtKB:Q9JIK5, ECO:0000250|UniProtKB:Q9NR30}."	NA	NA	NA
"Q6AYG5"	0	"Echdc1"	""	"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q9D9V3}."	NA	NA	NA
"Q5XIQ3"	0	"Cxxc5"	""	"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:19001364}. Cytoplasm {ECO:0000269|PubMed:19001364}. Note=Colocalizes with DVL1 in large bodies localized just outside the nuclear membrane."	NA	NA	NA
"P05370"	0	"G6pdx G6pd"	""	""	NA	NA	NA
"Q62761"	0	"Csnk1g1"	""	"SUBCELLULAR LOCATION: Cytoplasm."	NA	NA	NA
"O35548"	3	"Mmp16"	"TRANSMEM 565 585 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}; Extracellular side {ECO:0000305}. Note=Localized at the cell surface of melanoma cells. {ECO:0000250}.; SUBCELLULAR LOCATION: Isoform Short: Secreted, extracellular space, extracellular matrix."	NA	NA	NA
"P23899"	0	"Hnf1b Hnf-1b Tcf2"	""	"SUBCELLULAR LOCATION: Nucleus."	NA	NA	NA
"Q5U204"	0	"Lamtor3 Map2k1ip1"	""	"SUBCELLULAR LOCATION: Late endosome membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}."	NA	NA	NA
"Q64268"	0	"Serpind1 Hcf2"	""	""	NA	NA	NA
"D4AD37"	1	"Impad1 Impa3"	"TRANSMEM 13 33 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}."	NA	NA	NA
"Q66HH3"	0	"Lyl1"	""	"SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00981}."	NA	NA	NA
"D3ZK93"	2	"Gsg1l"	"TRANSMEM 9 29 Helical. {ECO:0000255}.; TRANSMEM 123 143 Helical. {ECO:0000255}.; TRANSMEM 164 184 Helical. {ECO:0000255}.; TRANSMEM 208 228 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:22632720}; Multi-pass membrane protein {ECO:0000269|PubMed:22632720}. Cell junction, synapse {ECO:0000250}."	NA	NA	NA
"Q8CGU6"	3	"Ncstn"	"TRANSMEM 669 689 Helical. {ECO:0000250|UniProtKB:Q92542}."	"SUBCELLULAR LOCATION: Membrane {ECO:0000250|UniProtKB:Q92542}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q92542}. Cytoplasmic vesicle membrane {ECO:0000250|UniProtKB:Q92542}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q92542}. Melanosome {ECO:0000250|UniProtKB:Q92542}. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV. {ECO:0000250|UniProtKB:Q92542}."	NA	NA	NA
"Q5FVJ3"	1	"Plpp7 Ppapdc3"	"TRANSMEM 113 133 Helical. {ECO:0000255}.; TRANSMEM 142 162 Helical. {ECO:0000255}.; TRANSMEM 203 223 Helical. {ECO:0000255}.; TRANSMEM 240 260 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Nucleus envelope. Endoplasmic reticulum membrane. Membrane; Multi-pass membrane protein. Note=Both the N- and C-terminal are exposed to the cytoplasm/nucleoplasm. {ECO:0000250}."	NA	NA	NA
"G3V7W1"	1	"Pdcd6 Alg2"	""	"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:27276012}; Peripheral membrane protein {ECO:0000250|UniProtKB:O75340}. Cytoplasmic vesicle, COPII-coated vesicle membrane {ECO:0000250|UniProtKB:O75340}. Cytoplasm {ECO:0000250|UniProtKB:O75340}. Nucleus {ECO:0000250|UniProtKB:O75340}. Endosome {ECO:0000250|UniProtKB:O75340}. Note=Interaction with RBM22 induces relocalization from the cytoplasm to the nucleus (By similarity). Translocated from the cytoplasm to the nucleus after heat shock cell treatment (By similarity). Accumulates in cytoplasmic vesicle-like organelles after heat shock treatment, which may represent stress granules (By similarity). In response to calcium increase, relocates from cytoplasm to COPII vesicle coat (By similarity). Localizes to endoplasmic reticulum exit site (ERES) (PubMed:27276012). {ECO:0000250|UniProtKB:O75340, ECO:0000269|PubMed:27276012}."	NA	NA	NA
"Q5XI02"	0	"Pdilt"	""	"SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000255|PROSITE-ProRule:PRU10138}."	NA	NA	NA
"Q6WAY2"	1	"Plppr1 Lppr1 Prg3"	"TRANSMEM 13 33 Helical. {ECO:0000255}.; TRANSMEM 67 87 Helical. {ECO:0000255}.; TRANSMEM 127 147 Helical. {ECO:0000255}.; TRANSMEM 201 219 Helical. {ECO:0000255}.; TRANSMEM 226 244 Helical. {ECO:0000255}.; TRANSMEM 257 277 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}."	NA	NA	NA
"Q9EPX4"	4	"P2ry12 P2y12"	"TRANSMEM 34 56 Helical; Name=1. {ECO:0000250}.; TRANSMEM 68 88 Helical; Name=2. {ECO:0000250}.; TRANSMEM 104 124 Helical; Name=3. {ECO:0000250}.; TRANSMEM 149 168 Helical; Name=4. {ECO:0000250}.; TRANSMEM 192 213 Helical; Name=5. {ECO:0000250}.; TRANSMEM 240 265 Helical; Name=6. {ECO:0000250}.; TRANSMEM 285 304 Helical; Name=7. {ECO:0000250}."	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:11196645}; Multi-pass membrane protein {ECO:0000269|PubMed:11196645}."	NA	NA	NA
"Q63425"	0	"Prx"	""	"SUBCELLULAR LOCATION: Isoform 1: Nucleus {ECO:0000269|PubMed:10671475}. Cytoplasm {ECO:0000269|PubMed:10671475, ECO:0000269|PubMed:8155317}. Cell membrane {ECO:0000269|PubMed:10671475, ECO:0000269|PubMed:11430802, ECO:0000269|PubMed:8155317}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Note=Detected in the Schwann cell nucleus prior to the onset of myelination (By similarity). Detected in Schwann cells at periaxonal myelin membranes (PubMed:8155317, PubMed:10671475, PubMed:11430802). Associated with the cell membrane during myelination (By similarity). {ECO:0000250|UniProtKB:O55103, ECO:0000269|PubMed:10671475, ECO:0000269|PubMed:11430802, ECO:0000269|PubMed:8155317}.; SUBCELLULAR LOCATION: Isoform 2: Cytoplasm {ECO:0000250|UniProtKB:O55103}.; SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:O55103}. Cell junction {ECO:0000250|UniProtKB:O55103}. Note=Colocalizes with ACTB at tricellular junctions between eye lens fiber cells. {ECO:0000250|UniProtKB:O55103}."	NA	NA	NA
"Q9ERC1"	0	"Myo16 Myr8 Nyap3"	""	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11588169}. Note=Found in puncta in soma and processes of astrocytes and dissociated cerebellar cells with the morphology of migrating granule cells. {ECO:0000269|PubMed:11588169}."	NA	NA	NA
"Q01205"	0	"Dlst"	""	"SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000250|UniProtKB:P36957}. Nucleus {ECO:0000250|UniProtKB:P36957}. Note=Mainly localizes in the mitochondrion. A small fraction localizes to the nucleus, where the 2-oxoglutarate dehydrogenase complex is required for histone succinylation. {ECO:0000250|UniProtKB:P36957}."	NA	NA	NA
"Q66HC4"	0	"Phospho2"	""	""	NA	NA	NA
"P97546"	3	"Nptn Sdfr1 Sdr1"	"TRANSMEM 339 359 Helical. {ECO:0000250|UniProtKB:Q9Y639}."	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.; SUBCELLULAR LOCATION: Isoform 2: Cell junction, synapse, Postsynapse, postsynaptic density {ECO:0000269|PubMed:10759566}."	NA	NA	NA
"Q63787"	0	"Pik3r1"	""	""	NA	NA	NA
"Q5I0D6"	0	"Nostrin"	""	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q8IVI9}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q8IVI9}; Cytoplasmic side {ECO:0000250|UniProtKB:Q8IVI9}. Cytoplasmic vesicle {ECO:0000250|UniProtKB:Q8IVI9}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q8IVI9}. Cytoplasm {ECO:0000250|UniProtKB:Q6WKZ7}. Nucleus {ECO:0000250|UniProtKB:Q6WKZ7}. Note=Enriched in selected actin structures. {ECO:0000250|UniProtKB:Q8IVI9}."	NA	NA	NA
"Q5U2R5"	0	"Ppp1r3c Ppp1r5"	""	""	NA	NA	NA
"D3ZTL1"	0	"Pou4f3"	""	"SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q15319}. Cytoplasm {ECO:0000250|UniProtKB:Q15319}. Note=Preferentially localized in the nucleus. {ECO:0000250|UniProtKB:Q15319}."	NA	NA	NA
"Q4V7E2"	0	"Plac1"	""	"SUBCELLULAR LOCATION: Secreted {ECO:0000305}."	NA	NA	NA
"B1WBP0"	0	"Mpped2"	""	""	NA	NA	NA
"Q6AYH0"	0	"Miip Iip45"	""	""	NA	NA	NA
"P42123"	0	"Ldhb Ldh-2 Ldh2"	""	"SUBCELLULAR LOCATION: Cytoplasm."	NA	NA	NA
"Q6P4Z6"	0	"Lcmt1"	""	""	NA	NA	NA
"Q8K3P7"	0	"Hint3 Hint4"	""	"SUBCELLULAR LOCATION: Cytoplasm. Nucleus {ECO:0000250}."	NA	NA	NA
"P39020"	0	"Meox2 Gax Mox-2 Mox2"	""	"SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P50222}. Nucleus speckle {ECO:0000255|PROSITE-ProRule:PRU00108}."	NA	NA	NA
"Q4V8B7"	0	"Hsdl1"	""	"SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250}."	NA	NA	NA
"Q64230"	3	"Mep1a"	"TRANSMEM 720 739 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein."	NA	NA	NA
"F1LV46"	0	"Ido2 Indol1"	""	""	NA	NA	NA
"Q99P63"	0	"Micu2 Efha1 Smhs2 09C01"	""	"SUBCELLULAR LOCATION: Mitochondrion intermembrane space {ECO:0000250|UniProtKB:Q8IYU8}."	NA	NA	NA
"Q8R2H4"	0	"Klhl12 C3ip1"	""	"SUBCELLULAR LOCATION: Cytoplasmic vesicle, COPII-coated vesicle {ECO:0000250|UniProtKB:Q53G59}."	NA	NA	NA
"Q62689"	0	"Jak2"	""	"SUBCELLULAR LOCATION: Endomembrane system {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}."	NA	NA	NA
"P11517"	0	""	""	""	NA	NA	NA
"D4AD53"	2	"Kcng1"	"TRANSMEM 225 246 Helical; Name=Segment S1. {ECO:0000250|UniProtKB:P63142}.; TRANSMEM 268 289 Helical; Name=Segment S2. {ECO:0000250|UniProtKB:P63142}.; TRANSMEM 301 321 Helical; Name=Segment S3. {ECO:0000250|UniProtKB:P63142}.; TRANSMEM 339 359 Helical; Voltage-sensor; Name=Segment S4. {ECO:0000250|UniProtKB:P63142}.; TRANSMEM 375 396 Helical; Name=Segment S5. {ECO:0000250|UniProtKB:P63142}.; TRANSMEM 439 467 Helical; Name=Segment S6. {ECO:0000250|UniProtKB:P63142}."	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:8980147}; Multi-pass membrane protein {ECO:0000305}."	NA	NA	NA
"P04905"	0	"Gstm1"	""	"SUBCELLULAR LOCATION: Cytoplasm."	NA	NA	NA
"Q68FQ2"	4	"Jam3"	"TRANSMEM 242 262 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q9D8B7}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q9BX67}. Cell junction {ECO:0000250|UniProtKB:Q9D8B7}. Cell junction, desmosome {ECO:0000250|UniProtKB:Q9BX67}. Cell junction, tight junction {ECO:0000250|UniProtKB:Q9D8B7}. Note=Detected in the acrosome region in developing spermatids (By similarity). In epithelial cells, it is expressed at desmosomes but not at tight junctions. Localizes at the cell surface of endothelial cells; treatment of endothelial cells with vascular endothelial growth factor stimulates recruitment of JAM3 to cell-cell contacts (By similarity). {ECO:0000250|UniProtKB:Q9BX67, ECO:0000250|UniProtKB:Q9D8B7}.; SUBCELLULAR LOCATION: Soluble form of JAM-C: Secreted {ECO:0000250|UniProtKB:Q9BX67}."	NA	NA	NA
"Q9QWS8"	1	"Kcnh8 Elk1 Elk3"	"TRANSMEM 226 246 Helical; Name=Segment S1. {ECO:0000255}.; TRANSMEM 256 276 Helical; Name=Segment S2. {ECO:0000255}.; TRANSMEM 299 319 Helical; Name=Segment S3. {ECO:0000255}.; TRANSMEM 328 348 Helical; Voltage-sensor; Name=Segment S4. {ECO:0000255}.; TRANSMEM 354 374 Helical; Name=Segment S5. {ECO:0000255}.; TRANSMEM 449 469 Helical; Name=Segment S6. {ECO:0000255}."	"SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein."	NA	NA	NA
"Q64273"	2	"Kcnj2 Irk1"	"TRANSMEM 82 106 Helical; Name=M1. {ECO:0000250}.; TRANSMEM 157 178 Helical; Name=M2. {ECO:0000250}."	"SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein. Membrane; Lipid-anchor {ECO:0000250|UniProtKB:P63252}."	NA	NA	NA
"Q91ZY6"	0	"Psmc3ip"	""	"SUBCELLULAR LOCATION: Nucleus {ECO:0000250}."	NA	NA	NA
"D3ZG83"	0	"Map3k10"	""	""	NA	NA	NA
"Q2KMM4"	0	"Alox12b"	""	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|PROSITE-ProRule:PRU00726}."	NA	NA	NA
"Q63450"	0	"Camk1"	""	"SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Note=Predominantly cytoplasmic."	NA	NA	NA
"P14200"	0	"Pmch Mch"	""	"SUBCELLULAR LOCATION: Secreted."	NA	NA	NA
"P27605"	0	"Hprt1 Hprt"	""	"SUBCELLULAR LOCATION: Cytoplasm."	NA	NA	NA
"Q6IFW6"	0	"Krt10 Ka10"	""	""	NA	NA	NA
"Q62865"	3	"Pde3a"	"TRANSMEM 62 82 Helical. {ECO:0000255}.; TRANSMEM 127 147 Helical. {ECO:0000255}.; TRANSMEM 157 177 Helical. {ECO:0000255}.; TRANSMEM 182 202 Helical. {ECO:0000255}.; TRANSMEM 207 227 Helical. {ECO:0000255}.; TRANSMEM 229 249 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}."	NA	NA	NA
"Q5M7W5"	0	"Map4"	""	"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250}."	NA	NA	NA
"P48508"	0	"Gclm Glclr"	""	""	NA	NA	NA
"Q64663"	0	"P2rx7"	"TRANSMEM 26 46 Helical; Name=1. {ECO:0000255}.; TRANSMEM 335 355 Helical; Name=2. {ECO:0000255}."	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q99572}; Multi-pass membrane protein."	NA	NA	NA
"Q6IUR5"	0	"Nenf Scirp10"	""	"SUBCELLULAR LOCATION: Secreted, extracellular space {ECO:0000250}."	NA	NA	NA
"P51740"	0	""	""	"SUBCELLULAR LOCATION: Cell membrane; Lipid-anchor, GPI-anchor."	NA	NA	NA
"Q9QYW3"	0	"Mob4 Mob3 Mobkl1 Phocn Prei3"	""	"SUBCELLULAR LOCATION: Cytoplasm. Membrane; Peripheral membrane protein. Golgi apparatus, Golgi stack membrane; Peripheral membrane protein. Note=Detected in cell bodies and dendrites of neurons, but not in axons."	NA	NA	NA
"Q6AYG3"	0	"Prune1 Prune"	""	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}. Cell junction, focal adhesion {ECO:0000250}."	NA	NA	NA
"Q9JM80"	1	"Pag1 Cbp Pag"	"TRANSMEM 18 38 Helical; Signal-anchor for type III membrane protein. {ECO:0000255}."	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10801129, ECO:0000269|PubMed:11859092}; Single-pass type III membrane protein {ECO:0000269|PubMed:10801129, ECO:0000269|PubMed:11859092}. Note=Present in lipid rafts."	NA	NA	NA
"P60203"	4	"Plp1 Plp"	"TRANSMEM 10 36 Helical; Name=1. {ECO:0000305}.; TRANSMEM 64 88 Helical; Name=2. {ECO:0000305}.; TRANSMEM 152 177 Helical; Name=3. {ECO:0000305}.; TRANSMEM 234 260 Helical; Name=4. {ECO:0000305}."	"SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein. Myelin membrane {ECO:0000250}. Note=Colocalizes with SIRT2 in internodal regions, at paranodal axoglial junction and Schmidt-Lanterman incisures of myelin sheat. {ECO:0000250}."	NA	NA	NA
"Q63262"	0	"Pou3f3 Brn-1 Brn1 Rhs2"	""	"SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00108, ECO:0000255|PROSITE-ProRule:PRU00530, ECO:0000269|PubMed:9632656}."	NA	NA	NA
